vineyard_id,name,appelation,country,region
0,Nicosia,Vulkà Bianco,Italy,Etna
1,St. Julian,Reserve Late Harvest,US,Lake Michigan Shore
2,Sweet Cheeks,Vintner's Reserve Wild Child Block,US,Willamette Valley
3,Tandem,Ars In Vitro,Spain,Navarra
4,Terre di Giurfo,Belsito,Italy,Vittoria
5,Jean-Baptiste Adam,Les Natures,France,Alsace
6,Kirkland Signature,Mountain Cuvée,US,Napa Valley
7,Masseria Setteporte,Rosso,Italy,Etna
8,Felix Lavaque,Felix,Argentina,Cafayate
9,Gaucho Andino,Winemaker Selection,Argentina,Mendoza
10,Pradorey,Vendimia Seleccionada Finca Valdela,Spain,Ribera del Duero
11,Quiévremont,Vin de Maison,US,Virginia
12,Baglio di Pianetto,Ficiligno,Italy,Sicilia
13,Bianchi,Signature Selection,US,Paso Robles
14,Canicattì,Aynat,Italy,Sicilia
15,Castello di Amorosa,King Ridge Vineyard,US,Sonoma Coast
16,Stemmari,Dalila,Italy,Terre Siciliane
17,Terre di Giurfo,Mascaria Barricato,Italy,Cerasuolo di Vittori
18,Domaine de la Madone,Nouveau,France,Beaujolais-Villages
19,Erath,Hyland,US,McMinnville
20,Henry Fessy,Nouveau,France,Beaujolais
21,Vignerons de Bel Air,Eté Indien,France,Brouilly
22,Château de Sours,La Fleur d'Amélie,France,Bordeaux Blanc
23,Okapi,Estate,US,Napa Valley
24,Podere dal Nespoli,Prugneto,Italy,Romagna
25,Ram,Alder Ridge Vineyard,US,Columbia Valley (WA)
26,Roland Champion,Brut Rosé,France,Champagne
27,Sevtap,Golden Horn,US,Santa Ynez Valley
28,Basel Cellars,Inspired,US,Columbia Valley (WA)
29,Collet,Brut Rosé,France,Champagne
30,Eco Terreno,Old Vine,US,Alexander Valley
31,Grifalco,Daginestra,Italy,Aglianico del Vultur
32,Hindsight,Bella Vetta Vineyard,US,Howell Mountain
33,Hindsight,Estate Grown,US,Calistoga
34,Mulvane Wine Co.,The Cypher,US,Napa Valley
35,Yalumba,Made With Organic Grapes,Australia,South Australia
36,Z'IVO,Rosé of,US,Eola-Amity Hills
37,Lionel Osmin & Cie,La Réserve,France,Vin de France
38,Mitolo,Jester Sangiovese,Australia,McLaren Vale
39,Napa Cellars,Classic,US,Napa Valley
40,Passaggio,Blau Vineyards,US,Knights Valley
41,Poggio Alloro,Le Mandorle Riserva,Italy,Vernaccia di San Gim
42,Ferrari-Carano,Siena,US,Sonoma County
43,Franciscan,Magnificat,US,Napa Valley
44,Gård,Grand Klasse Reserve Lawrence Viney,US,Columbia Valley (WA)
45,Heron Hill,Ingle Vineyard,US,Finger Lakes
46,Serpaia di Endrizzi,Dono Riserva,Italy,Morellino di Scansan
47,Soquel Vineyards,Intreccio Library Selection,US,Napa Valley
48,Lamoreaux Landing,Red Oak Vineyard,US,Finger Lakes
49,Lamoreaux Landing,Yellow Dog Vineyard,US,Finger Lakes
50,Madonna Alta,Nativo,Italy,Toscana
51,Marchesi Antinori,Villa Antinori,Italy,Toscana
52,Marchesi de' Frescobaldi,Castiglioni,Italy,Toscana
53,Marchesi de' Frescobaldi,Ammiraglia Massovivo,Italy,Toscana
54,Martin Ranch,J.D. Hurley,US,Santa Clara Valley
55,Ornellaia,Le Volte,Italy,Toscana
56,Pardon et Fils,Les Quartelets,France,Brouilly
57,Piña,Wolff Vineyard,US,Yountville
58,Podere Ciona,Semifonte,Italy,Toscana
59,Poggioventoso,Poetico,Italy,Toscana
60,Pull,BDX,US,Paso Robles
61,R2,Camp 4 Vineyard,US,Santa Ynez Valley
62,Rideau,Estate,US,Central Coast
63,Tenuta Forconi,Toscano,Italy,Toscana
64,Henry's Drive Vignerons,Parson's Flat,Australia,Padthaway
65,Terra Valentine,K Block,US,Spring Mountain Dist
66,Testarossa,Guidotti Vineyard,US,Santa Lucia Highland
67,Vincent Vineyards,Family Reserve,US,Santa Ynez Valley
68,Vincent Vineyards,Family Reserve,US,Santa Ynez Valley
69,Wrath,Destruction Level,US,Monterey
70,Yardstick,Ruth's Reach,US,Napa Valley
71,Albatross Ridge,Estate Reserve,US,Carmel Valley
72,Alta Colina,Old 900,US,Paso Robles
73,Marques de Griñon,Single Vineyard Estate Bottled,Spain,Dominio de Valdepusa
74,Castello di Gabbiano,Bellezza Gran Selezione,Italy,Chianti Classico
75,Castello Romitorio,Filo di Seta,Italy,Brunello di Montalci
76,Chronic Cellars,Mr. Nibbles,US,Paso Robles
77,Claiborne & Churchill,Claiborne Vineyard,US,Edna Valley
78,Collin-Bourisset,Hospices Civils de Romanèche Thurin,France,Moulin-à-Vent
79,Domaine Berthoumieu,Charles de Batz,France,Madiran
80,Duckhorn,Rector Creek Vineyard,US,Napa Valley
81,Dutton-Goldfield,Dutton Ranch,US,Russian River Valley
82,La Chablisienne,Les Vénérables Vieilles Vignes,France,Chablis
83,Henry's Drive Vignerons,The Trial of John Montford,Australia,Padthaway
84,Sequum,Four Soil Mélange,US,Napa Valley
85,Sierra Starr,Rising Starr Estate Bottled,US,Nevada County
86,Tenuta di Sesta,Riserva,Italy,Brunello di Montalci
87,Terlan,Nova Domus Riserva,Italy,Alto Adige
88,J. Lohr,Gesture,US,Paso Robles
89,J. Lohr,October Night,US,Arroyo Seco
90,Del Carlo Winery,Home Ranch Teldeschi Vineyards Cent,US,Dry Creek Valley
91,Famille Perrin,Les Christins,France,Vacqueyras
92,Matarromera,Fermentado en Barrica,Spain,Rueda
93,MCV,1105,US,Paso Robles
94,Mounts,Verah,US,Dry Creek Valley
95,St. Pauls,Passion Riserva,Italy,Alto Adige
96,Talenti,Trentennale,Italy,Brunello di Montalci
