wine_id,vineyard_id,name,classification,year,rating,location,appelation
1,0,Cantine Nicosia Etna Vulka Bianco,White,2014,4.5,Etna DOC,Vulkà Bianco
2,0,Cantine Nicosia Etna Vulka Bianco,White,2023,,Etna DOC,Vulkà Bianco
3,0,Cantine Nicosia Etna Vulka Bianco,White,2022,4.5,Etna DOC,Vulkà Bianco
4,0,Cantine Nicosia Etna Vulka Bianco,White,2021,4.3,Etna DOC,Vulkà Bianco
5,0,Cantine Nicosia Etna Vulka Bianco,White,2020,,Etna DOC,Vulkà Bianco
6,0,Cantine Nicosia Etna Vulka Bianco,White,2019,,Etna DOC,Vulkà Bianco
7,0,Cantine Nicosia Etna Vulka Bianco,White,2018,4,Etna DOC,Vulkà Bianco
8,0,Cantine Nicosia Etna Vulka Bianco,White,2017,4.35,Etna DOC,Vulkà Bianco
9,0,Cantine Nicosia Etna Vulka Bianco,White,2016,4.5,Etna DOC,Vulkà Bianco
10,0,Cantine Nicosia Etna Vulka Bianco,White,2015,4.35,Etna DOC,Vulkà Bianco
11,0,Cantine Nicosia Etna Vulka Bianco,White,2014,4.5,Etna DOC,Vulkà Bianco
12,48406,St. Julian Winery Chardonnay Reserve Late Harvest Tierra Alto Vineyard,White,2018,4.2,Lake Michigan Shore,Reserve Late Harvest
13,48406,St. Julian Winery Riesling Reserve Late Harvest,White,2023,4.55,Lake Michigan Shore,Reserve Late Harvest
14,48406,St. Julian Winery Riesling Reserve Late Harvest,White,2022,,Lake Michigan Shore,Reserve Late Harvest
15,48406,St. Julian Winery Riesling Reserve Late Harvest,White,2021,,Lake Michigan Shore,Reserve Late Harvest
16,48406,St. Julian Winery Riesling Reserve Late Harvest,White,2020,4.4,Lake Michigan Shore,Reserve Late Harvest
17,48406,St. Julian Winery Riesling Reserve Late Harvest,White,2019,4.35,Lake Michigan Shore,Reserve Late Harvest
18,48406,St. Julian Winery Riesling Reserve Late Harvest,White,2018,,Lake Michigan Shore,Reserve Late Harvest
19,48406,St. Julian Winery Riesling Reserve Late Harvest,White,2016,,Lake Michigan Shore,Reserve Late Harvest
20,48406,St. Julian Winery Vidal Blanc Braganini Reserve Late Harvest,White,2023,4.35,Lake Michigan Shore,Reserve Late Harvest
21,48406,St. Julian Winery Vidal Blanc Braganini Reserve Late Harvest,White,2021,4.2,Lake Michigan Shore,Reserve Late Harvest
22,48406,St. Julian Winery Vidal Blanc Braganini Reserve Late Harvest,White,2020,4.25,Lake Michigan Shore,Reserve Late Harvest
23,48406,St. Julian Winery Vidal Blanc Braganini Reserve Late Harvest,White,2019,4,Lake Michigan Shore,Reserve Late Harvest
24,48406,St. Julian Winery Vidal Blanc Braganini Reserve Late Harvest,White,2018,,Lake Michigan Shore,Reserve Late Harvest
25,48406,St. Julian Winery Vidal Blanc Braganini Reserve Late Harvest,White,2017,,Lake Michigan Shore,Reserve Late Harvest
26,48406,St. Julian Winery Vidal Blanc Braganini Reserve Late Harvest,White,2016,,Lake Michigan Shore,Reserve Late Harvest
27,48406,St. Julian Winery Vidal Blanc Braganini Reserve Late Harvest,White,2015,,Lake Michigan Shore,Reserve Late Harvest
28,48406,St. Julian Winery Vidal Blanc Braganini Reserve Late Harvest,White,2013,,Lake Michigan Shore,Reserve Late Harvest
29,48406,St. Julian Winery Vidal Blanc Braganini Reserve Late Harvest,White,2011,,Lake Michigan Shore,Reserve Late Harvest
30,48406,St. Julian Winery Vidal Braganini Reserve Late Harvest,White - Sweet/Dessert,2011,4.3,Lake Michigan Shore,Reserve Late Harvest
31,48406,St. Julian Winery Vidal Braganini Reserve Late Harvest Arrowhead Vineyard,White - Sweet/Dessert,2012,,Lake Michigan Shore,Reserve Late Harvest
32,48406,St. Julian Winery Vidal Braganini Reserve Late Harvest Arrowhead Vineyard,White - Sweet/Dessert,2011,,Lake Michigan Shore,Reserve Late Harvest
33,48406,St. Julian Winery Vidal Braganini Reserve Late Harvest Tierra Alto Vineyard,White - Sweet/Dessert,2013,,Lake Michigan Shore,Reserve Late Harvest
34,48406,St. Julian Winery Vidal Braganini Reserve Late Harvest Tierra Alto Vineyard,White - Sweet/Dessert,2012,,Lake Michigan Shore,Reserve Late Harvest
