vineyard_id,name,owner,appelation,country,region
0,Nicosia,Kerin O’Keefe,Vulkà Bianco,Italy,Etna
1,St. Julian,Alexander Peartree,Reserve Late Harvest,US,Lake Michigan Shore
2,Sweet Cheeks,Paul Gregutt,Vintner's Reserve Wild Child Block,US,Willamette Valley
3,Tandem,Michael Schachner,Ars In Vitro,Spain,Navarra
4,Terre di Giurfo,Kerin O’Keefe,Belsito,Italy,Vittoria
5,Jean-Baptiste Adam,Roger Voss,Les Natures,France,Alsace
6,Kirkland Signature,Virginie Boone,Mountain Cuvée,US,Napa Valley
7,Masseria Setteporte,Kerin O’Keefe,Rosso,Italy,Etna
8,Felix Lavaque,Michael Schachner,Felix,Argentina,Cafayate
9,Gaucho Andino,Michael Schachner,Winemaker Selection,Argentina,Mendoza
10,Pradorey,Michael Schachner,Vendimia Seleccionada Finca Valdela,Spain,Ribera del Duero
11,Quiévremont,Alexander Peartree,Vin de Maison,US,Virginia
12,Baglio di Pianetto,Kerin O’Keefe,Ficiligno,Italy,Sicilia
13,Bianchi,Matt Kettmann,Signature Selection,US,Paso Robles
14,Canicattì,Kerin O’Keefe,Aynat,Italy,Sicilia
15,Castello di Amorosa,Virginie Boone,King Ridge Vineyard,US,Sonoma Coast
16,Stemmari,Kerin O’Keefe,Dalila,Italy,Terre Siciliane
17,Terre di Giurfo,Kerin O’Keefe,Mascaria Barricato,Italy,Cerasuolo di Vittori
18,Domaine de la Madone,Roger Voss,Nouveau,France,Beaujolais-Villages
19,Erath,Paul Gregutt,Hyland,US,McMinnville
20,Henry Fessy,Roger Voss,Nouveau,France,Beaujolais
21,Vignerons de Bel Air,Roger Voss,Eté Indien,France,Brouilly
22,Château de Sours,Roger Voss,La Fleur d'Amélie,France,Bordeaux Blanc
23,Okapi,Virginie Boone,Estate,US,Napa Valley
24,Podere dal Nespoli,Kerin O’Keefe,Prugneto,Italy,Romagna
25,Ram,Sean P. Sullivan,Alder Ridge Vineyard,US,Columbia Valley (WA)
26,Roland Champion,Roger Voss,Brut Rosé,France,Champagne
27,Sevtap,Matt Kettmann,Golden Horn,US,Santa Ynez Valley
28,Basel Cellars,Sean P. Sullivan,Inspired,US,Columbia Valley (WA)
29,Collet,Roger Voss,Brut Rosé,France,Champagne
30,Eco Terreno,Virginie Boone,Old Vine,US,Alexander Valley
31,Grifalco,Kerin O’Keefe,Daginestra,Italy,Aglianico del Vultur
32,Hindsight,Virginie Boone,Bella Vetta Vineyard,US,Howell Mountain
33,Hindsight,Virginie Boone,Estate Grown,US,Calistoga
34,Mulvane Wine Co.,Virginie Boone,The Cypher,US,Napa Valley
35,Yalumba,Joe Czerwinski,Made With Organic Grapes,Australia,South Australia
36,Z'IVO,Paul Gregutt,Rosé of,US,Eola-Amity Hills
37,Lionel Osmin & Cie,Roger Voss,La Réserve,France,Vin de France
38,Mitolo,Joe Czerwinski,Jester Sangiovese,Australia,McLaren Vale
39,Napa Cellars,Virginie Boone,Classic,US,Napa Valley
40,Passaggio,Virginie Boone,Blau Vineyards,US,Knights Valley
41,Poggio Alloro,Kerin O’Keefe,Le Mandorle Riserva,Italy,Vernaccia di San Gim
42,Ferrari-Carano,Virginie Boone,Siena,US,Sonoma County
43,Franciscan,Virginie Boone,Magnificat,US,Napa Valley
44,Gård,Sean P. Sullivan,Grand Klasse Reserve Lawrence Viney,US,Columbia Valley (WA)
45,Heron Hill,Anna Lee C. Iijima,Ingle Vineyard,US,Finger Lakes
46,Serpaia di Endrizzi,Kerin O’Keefe,Dono Riserva,Italy,Morellino di Scansan
47,Soquel Vineyards,Virginie Boone,Intreccio Library Selection,US,Napa Valley
48,Lamoreaux Landing,Anna Lee C. Iijima,Red Oak Vineyard,US,Finger Lakes
49,Lamoreaux Landing,Anna Lee C. Iijima,Yellow Dog Vineyard,US,Finger Lakes
50,Madonna Alta,Kerin O’Keefe,Nativo,Italy,Toscana
51,Marchesi Antinori,Kerin O’Keefe,Villa Antinori,Italy,Toscana
52,Marchesi de' Frescobaldi,Kerin O’Keefe,Castiglioni,Italy,Toscana
53,Marchesi de' Frescobaldi,Kerin O’Keefe,Ammiraglia Massovivo,Italy,Toscana
54,Martin Ranch,Matt Kettmann,J.D. Hurley,US,Santa Clara Valley
55,Ornellaia,Kerin O’Keefe,Le Volte,Italy,Toscana
56,Pardon et Fils,Roger Voss,Les Quartelets,France,Brouilly
57,Piña,Virginie Boone,Wolff Vineyard,US,Yountville
58,Podere Ciona,Kerin O’Keefe,Semifonte,Italy,Toscana
59,Poggioventoso,Kerin O’Keefe,Poetico,Italy,Toscana
60,Pull,Matt Kettmann,BDX,US,Paso Robles
61,R2,Matt Kettmann,Camp 4 Vineyard,US,Santa Ynez Valley
62,Rideau,Matt Kettmann,Estate,US,Central Coast
63,Tenuta Forconi,Kerin O’Keefe,Toscano,Italy,Toscana
64,Henry's Drive Vignerons,Joe Czerwinski,Parson's Flat,Australia,Padthaway
65,Terra Valentine,Virginie Boone,K Block,US,Spring Mountain Dist
66,Testarossa,Matt Kettmann,Guidotti Vineyard,US,Santa Lucia Highland
67,Vincent Vineyards,Matt Kettmann,Family Reserve,US,Santa Ynez Valley
68,Vincent Vineyards,Matt Kettmann,Family Reserve,US,Santa Ynez Valley
69,Wrath,Matt Kettmann,Destruction Level,US,Monterey
70,Yardstick,Virginie Boone,Ruth's Reach,US,Napa Valley
71,Albatross Ridge,Matt Kettmann,Estate Reserve,US,Carmel Valley
72,Alta Colina,Matt Kettmann,Old 900,US,Paso Robles
73,Marques de Griñon,Michael Schachner,Single Vineyard Estate Bottled,Spain,Dominio de Valdepusa
74,Castello di Gabbiano,Kerin O’Keefe,Bellezza Gran Selezione,Italy,Chianti Classico
75,Castello Romitorio,Kerin O’Keefe,Filo di Seta,Italy,Brunello di Montalci
76,Chronic Cellars,Matt Kettmann,Mr. Nibbles,US,Paso Robles
77,Claiborne & Churchill,Matt Kettmann,Claiborne Vineyard,US,Edna Valley
78,Collin-Bourisset,Roger Voss,Hospices Civils de Romanèche Thurin,France,Moulin-à-Vent
79,Domaine Berthoumieu,Roger Voss,Charles de Batz,France,Madiran
80,Duckhorn,Virginie Boone,Rector Creek Vineyard,US,Napa Valley
81,Dutton-Goldfield,Virginie Boone,Dutton Ranch,US,Russian River Valley
82,La Chablisienne,Roger Voss,Les Vénérables Vieilles Vignes,France,Chablis
83,Henry's Drive Vignerons,Joe Czerwinski,The Trial of John Montford,Australia,Padthaway
84,Sequum,Virginie Boone,Four Soil Mélange,US,Napa Valley
85,Sierra Starr,Jim Gordon,Rising Starr Estate Bottled,US,Nevada County
86,Tenuta di Sesta,Kerin O’Keefe,Riserva,Italy,Brunello di Montalci
87,Terlan,Kerin O’Keefe,Nova Domus Riserva,Italy,Alto Adige
88,J. Lohr,Matt Kettmann,Gesture,US,Paso Robles
89,J. Lohr,Matt Kettmann,October Night,US,Arroyo Seco
90,Del Carlo Winery,Virginie Boone,Home Ranch Teldeschi Vineyards Cent,US,Dry Creek Valley
91,Famille Perrin,Joe Czerwinski,Les Christins,France,Vacqueyras
92,Matarromera,Michael Schachner,Fermentado en Barrica,Spain,Rueda
93,MCV,Matt Kettmann,1105,US,Paso Robles
94,Mounts,Virginie Boone,Verah,US,Dry Creek Valley
95,St. Pauls,Kerin O’Keefe,Passion Riserva,Italy,Alto Adige
96,Talenti,Kerin O’Keefe,Trentennale,Italy,Brunello di Montalci
97,Mendel,Michael Schachner,Lunta,Argentina,Luján de Cuyo
98,Silvan Ridge,Paul Gregutt,Reserve,US,Willamette Valley
99,D'Arenberg,Joe Czerwinski,The Derelict Vineyard,Australia,McLaren Vale
100,J. & F. Lurton,Michael Schachner,Herederos de François Lurton Villaf,Spain,Vino de la Tierra de
101,Finca Las Moras,Michael Schachner,Reserve,Argentina,San Juan
102,Amity,Paul Gregutt,Estate Single Vineyard,US,Willamette Valley
103,Cherry Hill,Paul Gregutt,Papillon Estate,US,Willamette Valley
104,Cueva de las Manos,Michael Schachner,Reserve,Argentina,Luján de Cuyo
105,Esterlina,Virginie Boone,Reserva,US,Cole Ranch
106,Vignobles 46N118,Roger Voss,Noir 46,France,Cahors
107,Willamette Valley Vineyards,Paul Gregutt,Estate,US,Willamette Valley
108,Beaver Creek,Virginie Boone,Fairytale,US,Napa Valley
109,Kaiken,Michael Schachner,Corte Malbec-Bonarda-Petit Verdot,Argentina,Mendoza
110,O. Fournier,Michael Schachner,B Crux,Argentina,Uco Valley
111,Sottano,Michael Schachner,Reserva de Familia,Argentina,Mendoza
112,Erath,Paul Gregutt,Bishop Creek,US,Willamette Valley
113,I Giusti e Zanza,Kerin O’Keefe,Dulcamara,Italy,Toscana
114,J. Christopher,Paul Gregutt,Bella Vida Vineyard Unfiltered,US,Dundee Hills
115,Viña Cobos,Michael Schachner,Marchiori Vineyard Block C2,Argentina,Perdriel
116,Acústic,Michael Schachner,Braó Vinyes Velles,Spain,Montsant
117,Domaine Daniel Dugois,Roger Voss,Vin Jaune,France,Arbois
118,Kilikanoon,Joe Czerwinski,Green's Vineyard,Australia,Barossa Valley
119,Finca Sophenia,Michael Schachner,Synthesis,Argentina,Tupungato
120,Buried Cane,Paul Gregutt,Whiteline No Oak,US,Columbia Valley (WA)
121,Domaine Bertagna,Roger Voss,Les Dames Huguettes,France,Côte de Nuits-Villag
122,Château Mont-Pérat,Roger Voss,Les Amants Mont-Pérat,France,Bordeaux Blanc
123,Jacquart,Roger Voss,Mosaïque Rosé Brut,France,Champagne
